date,users
06/03/12,0
06/10/12,0
06/17/12,0
06/24/12,0
07/01/12,0
07/08/12,1
07/15/12,1
07/22/12,0
07/29/12,0
08/05/12,0
08/12/12,0
08/19/12,0
08/26/12,0
09/02/12,1
09/09/12,1
09/16/12,0
09/23/12,0
09/30/12,0
10/07/12,0
10/14/12,0
10/21/12,0
10/28/12,0
11/04/12,0
11/11/12,1
11/18/12,0
11/25/12,0
12/02/12,0
12/09/12,0
12/16/12,0
12/23/12,0
12/30/12,0
01/06/13,0
01/13/13,0
01/20/13,0
01/27/13,0
02/03/13,0
02/10/13,0
02/17/13,0
02/24/13,0
03/03/13,0
03/10/13,1
03/17/13,1
03/24/13,0
03/31/13,0
04/07/13,0
04/14/13,0
04/21/13,0
04/28/13,0
05/05/13,0
05/12/13,1
05/19/13,0
05/26/13,0
06/02/13,0
06/09/13,0
06/16/13,0
06/23/13,0
06/30/13,0
07/07/13,0
07/14/13,0
07/21/13,0
07/28/13,0
08/04/13,0
08/11/13,0
08/18/13,0
08/25/13,0
09/01/13,0
09/08/13,0
09/15/13,0
09/22/13,0
09/29/13,0
10/06/13,0
10/13/13,0
10/20/13,0
10/27/13,0
11/03/13,0
11/10/13,0
11/17/13,0
11/24/13,0
12/01/13,0
12/08/13,0
12/15/13,0
12/22/13,0
12/29/13,0
01/05/14,0
01/12/14,0
01/19/14,0
01/26/14,0
02/02/14,0
02/09/14,0
02/16/14,0
02/23/14,0
03/02/14,1
03/09/14,0
03/16/14,0
03/23/14,0
03/30/14,0
04/06/14,0
04/13/14,0
04/20/14,0
04/27/14,0
05/04/14,0
05/11/14,0
05/18/14,0
05/25/14,0
06/01/14,1
06/08/14,1
06/15/14,1
06/22/14,0
06/29/14,0
07/06/14,0
07/13/14,0
07/20/14,0
07/27/14,0
08/03/14,0
08/10/14,0
08/17/14,0
08/24/14,0
08/31/14,0
09/07/14,0
09/14/14,0
09/21/14,0
09/28/14,0
10/05/14,0
10/12/14,0
10/19/14,0
10/26/14,0
11/02/14,0
11/09/14,0
11/16/14,0
11/23/14,0
11/30/14,0
12/07/14,0
12/14/14,0
12/21/14,0
12/28/14,0
01/04/15,0
01/11/15,0
01/18/15,0
01/25/15,0
02/01/15,0
02/08/15,0
02/15/15,0
02/22/15,0
03/01/15,0
03/08/15,0
03/15/15,0
03/22/15,0
03/29/15,0
04/05/15,0
04/12/15,0
04/19/15,0
04/26/15,0
05/03/15,0
05/10/15,0
05/17/15,0
05/24/15,0
05/31/15,0
06/07/15,0
06/14/15,0
06/21/15,0
06/28/15,0
07/05/15,0
07/12/15,0
07/19/15,0
07/26/15,0
08/02/15,0
08/09/15,0
08/16/15,0
08/23/15,0
08/30/15,0
09/06/15,0
09/13/15,0
09/20/15,1
09/27/15,0
10/04/15,0
10/11/15,0
10/18/15,0
10/25/15,1
11/01/15,0
11/08/15,0
11/15/15,0
11/22/15,0
11/29/15,0
12/06/15,0
12/13/15,0
12/20/15,0
12/27/15,0
01/03/16,0
01/10/16,0
01/17/16,0
01/24/16,0
01/31/16,0
02/07/16,0
02/14/16,0
02/21/16,0
02/28/16,0
03/06/16,0
03/13/16,0
03/20/16,0
03/27/16,0
04/03/16,0
04/10/16,0
04/17/16,0
04/24/16,0
05/01/16,0
05/08/16,0
05/15/16,0
05/22/16,0
05/29/16,0
06/05/16,0
06/12/16,0
06/19/16,0
06/26/16,0
07/03/16,0
07/10/16,0
07/17/16,0
07/24/16,0
07/31/16,0
08/07/16,1
08/14/16,2
08/21/16,2
08/28/16,3
09/04/16,12
09/11/16,7
09/18/16,4
09/25/16,3
10/02/16,2
10/09/16,3
10/16/16,3
10/23/16,20
10/30/16,100
11/06/16,16
11/13/16,13
11/20/16,71
11/27/16,57
12/04/16,46
12/11/16,9
12/18/16,4
12/25/16,3
01/01/17,3
01/08/17,3
01/15/17,4
01/22/17,13
01/29/17,9
02/05/17,7
02/12/17,5
02/19/17,13
02/26/17,5
03/05/17,3
03/12/17,2
03/19/17,2
03/26/17,2
04/02/17,2
04/09/17,2
04/16/17,1
04/23/17,2
04/30/17,1
05/07/17,1
05/14/17,1
05/21/17,1
